"subject" "session" "orLarge" "orSmall" "task" "rt" "response" "vertical"
"236" 1 1 "Top" -1.5 "equ" 0.94079561888 0 TRUE
"237" 1 1 "Top" 1.5 "equ" 1.24660590039 0 TRUE
"238" 1 1 "Right" 2 "equ" 0.893773239152 0 FALSE
"239" 1 1 "Top" 2 "comp" 0.823240052847 1 TRUE
"240" 1 1 "Right" 0 "equ" 0.81152067851 1 FALSE
"241" 1 1 "Bottom" 0 "equ" 0.71740424444 1 TRUE
"242" 1 1 "Bottom" 0 "equ" 0.834973608794 1 TRUE
"243" 1 1 "Left" 0.5 "comp" 0.987891589655 1 FALSE
"244" 1 1 "Left" -1 "comp" 1.66996101591 0 FALSE
"245" 1 1 "Right" 0 "equ" 0.834995839423 1 FALSE
"246" 1 1 "Bottom" 2 "equ" 0.858524277189 0 TRUE
"247" 1 1 "Left" -1.5 "comp" 0.858519677748 0 FALSE
"248" 1 1 "Top" 1.5 "comp" 0.646817397997 1 TRUE
"249" 1 1 "Left" 0 "comp" 0.952561370909 0 FALSE
"250" 1 1 "Left" 2 "comp" 0.693835178284 1 FALSE
"251" 1 1 "Top" 1 "comp" 0.799677885852 1 TRUE
"252" 1 1 "Right" -1.5 "comp" 1.01138821462 0 FALSE
"253" 1 1 "Left" 1 "comp" 0.787959278087 1 FALSE
"254" 1 1 "Right" 0 "equ" 1.97569272365 1 FALSE
"255" 1 1 "Top" -1 "equ" 0.68206291038 1 TRUE
"256" 1 1 "Top" -2 "comp" 0.905506028525 0 TRUE
"257" 1 1 "Right" 1.5 "equ" 1.85809806237 0 FALSE
"258" 1 1 "Top" -1.5 "comp" 0.823186775995 0 TRUE
"259" 1 1 "Left" -2 "comp" 0.846753925718 0 FALSE
"260" 1 1 "Right" 1.5 "comp" 1.16426978325 1 FALSE
"261" 1 1 "Left" 0.5 "comp" 1.31715480145 1 FALSE
"262" 1 1 "Left" 0.5 "comp" 1.35241909488 1 FALSE
"263" 1 1 "Right" -0.5 "equ" 1.56409876072 1 FALSE
"264" 1 1 "Right" 0 "comp" 1.05844738988 0 FALSE
"265" 1 1 "Top" 1 "equ" 1.02314860064 0 TRUE
"266" 1 1 "Bottom" 1.5 "equ" 1.01137709931 0 TRUE
"267" 1 1 "Top" -0.5 "equ" 0.670340469748 1 TRUE
"268" 1 1 "Top" 0 "equ" 0.635038230932 1 TRUE
"269" 1 1 "Top" 2 "equ" 1.68171258633 1 TRUE
"270" 1 1 "Top" 1.5 "equ" 1.10547398576 0 TRUE
"271" 1 1 "Right" 1 "equ" 1.27013855431 0 FALSE
"272" 1 1 "Right" 1 "equ" 0.670361167231 1 FALSE
"273" 1 1 "Left" -1 "equ" 1.47004326924 1 FALSE
"274" 1 1 "Top" -0.5 "comp" 0.740921566892 0 TRUE
"275" 1 1 "Bottom" -0.5 "comp" 0.823224338093 0 TRUE
"276" 1 1 "Left" 0 "comp" 1.0583918133 1 FALSE
"277" 1 1 "Right" 0.5 "comp" 1.08196432904 1 FALSE
"278" 1 1 "Right" 1.5 "equ" 0.682099705904 1 FALSE
"279" 1 1 "Right" 1.5 "equ" 0.976085592521 1 FALSE
"280" 1 1 "Left" -2 "equ" 1.09370171785 0 FALSE
"281" 1 1 "Bottom" -2 "equ" 0.811478133685 0 TRUE
"282" 1 1 "Left" 1.5 "comp" 0.952578235524 1 FALSE
